Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Assembly Level,Assembly Release Date,Assembly Stats Number of Scaffolds
GCA_002266435.3,ASM226643v3,Bradyrhizobium amphicarpaeae,39S1MB,Complete Genome,2024-02-23,1
GCA_017377355.1,ASM1737735v1,Desulfonema limicola,5ac10,Complete Genome,2021-03-17,1
GCA_002813775.1,ASM281377v1,Candidatus Thiodictyon syntrophicum,Cad16T,Complete Genome,2017-12-07,3
GCA_020410765.1,ASM2041076v1,Streptomyces marincola,SCSIO 64649,Complete Genome,2021-10-11,1
GCA_001017435.1,ASM101743v1,Caldimonas brevitalea,DSM 7029,Complete Genome,2015-06-01,1
GCA_001741865.1,ASM174186v1,Bosea vaviloviae,Vaf18,Complete Genome,2016-09-21,2
GCA_002005305.1,ASM200530v1,Shewanella psychrophila,WP2,Complete Genome,2017-02-21,1
GCA_004328625.1,ASM432862v1,Streptomyces seoulensis,KCTC 9819,Complete Genome,2019-03-06,2
GCA_014268375.2,ASM1426837v2,Pseudomonas salmasensis,SWRI126,Complete Genome,2021-07-06,1
GCA_016313185.1,ASM1631318v1,Mycolicibacterium baixiangningiae,LJ126,Complete Genome,2020-12-23,1
GCA_963853645.1,MriyDSM45176v1,Mycobacterium riyadhense,DSM 45176,Complete Genome,2024-04-11,3
GCA_014268585.2,ASM1426858v2,Pseudomonas iranensis,SWRI54,Complete Genome,2021-07-06,1
GCA_040026395.1,ASM4002639v1,Pedobacter lusitanus,NL19,Complete Genome,2024-06-04,1
GCA_010725485.1,ASM1072548v1,Mycolicibacterium parafortuitum,JCM 6367,Complete Genome,2020-02-06,1
GCA_000993785.3,ASM99378v3,Streptomyces xiamenensis,MCCC 1A01550,Complete Genome,2019-08-19,1
GCA_001644575.1,ASM164457v1,Mycobacterium adipatum,YC-RL4,Complete Genome,2016-05-16,2
GCA_020911925.1,ASM2091192v1,Flavobacterium cupriresistens,F-323,Complete Genome,2021-11-22,1
GCA_009720625.1,ASM972062v1,Metabacillus sediminilitoris,DSL-17,Complete Genome,2019-11-30,1
GCA_000306785.1,ASM30678v1,Modestobacter italicus,BC 501,Complete Genome,2012-05-24,1
GCA_000520015.2,ASM52001v2,Chania multitudinisentens RB-25,RB-25,Complete Genome,2015-03-16,1
GCA_036208045.1,ASM3620804v1,Thiorhodovibrio winogradskyi,DSM 6702,Complete Genome,2024-01-25,1
GCA_030064165.1,ASM3006416v1,Comamonas resistens,ZM22,Complete Genome,2023-05-23,3
GCA_009193325.2,ASM919332v2,Bacteroides zhangwenhongii,HF-5287,Complete Genome,2020-08-10,2
GCA_004353845.1,ASM435384v1,Citrobacter arsenatis,LY-1,Complete Genome,2019-03-17,3
GCA_014041935.1,ASM1404193v1,Gordonia jinghuaiqii,zg-686,Complete Genome,2020-08-02,1
GCA_001642805.2,ASM164280v2,Serratia surfactantfaciens,YD25,Complete Genome,2016-08-23,1
GCA_008000995.1,ASM800099v1,Ruania zhangjianzhongii,HY168,Complete Genome,2019-08-18,2
GCA_019645815.1,ASM1964581v1,Mycolicibacter heraklionensis,JCM 30995,Complete Genome,2021-08-17,1
GCA_014269025.2,ASM1426902v2,Pseudomonas promysalinigenes,RW10S1,Complete Genome,2021-07-06,1
GCA_002355275.1,ASM235527v1,Rhizorhabdus dicambivorans,Ndbn-20,Complete Genome,2017-09-25,5
GCA_001717955.1,ASM171795v1,Sphingomonas panacis,DCY99,Complete Genome,2016-09-01,2
GCA_000213655.1,ASM21365v1,Alteromonas naphthalenivorans,SN2,Complete Genome,2011-05-13,1
GCA_044501185.1,ASM4450118v1,Methylobacterium bullatum,LMG 24788,Complete Genome,2024-11-07,2
GCA_009911795.1,ASM991179v1,Pseudarthrobacter psychrotolerans,YJ56,Complete Genome,2020-01-22,3
GCA_021484805.1,ASM2148480v1,Tellurirhabdus bombi,IE-0392,Complete Genome,2022-01-16,1
GCA_002863865.1,ASM286386v1,Ketobacter alkanivorans,GI5,Complete Genome,2018-01-05,1
GCA_003815775.1,ASM381577v1,Chryseobacterium joostei,DSM 16927,Complete Genome,2018-11-25,2
GCA_900475285.1,43222_B01,Pseudomonas taetrolens,NCTC10697,Complete Genome,2018-06-17,1
GCA_028752115.1,ASM2875211v1,Stenotrophomonas forensis,DFS-20110405,Complete Genome,2023-02-21,1
GCA_003957745.1,ASM395774v1,Shewanella khirikhana,TH2012,Complete Genome,2018-12-21,2
GCA_001431725.1,ASM143172v1,Halomonas huangheensis,BJGMM-B45,Complete Genome,2015-11-04,1
GCA_002896855.1,ASM289685v1,Clostridium thermosuccinogenes,DSM 5807,Complete Genome,2018-01-24,1
GCA_002310495.1,ASM231049v1,Nibricoccus aquaticus,HZ-65,Complete Genome,2017-09-18,1
GCA_000600105.1,ASM60010v1,Lysinibacillus varians,GY32,Complete Genome,2014-03-25,1
GCA_000011385.1,ASM1138v1,Gloeobacter violaceus PCC 7421,PCC 7421,Complete Genome,2003-10-03,1
GCA_001456355.1,ASM145635v1,Mycobacteroides saopaulense,EPM10906,Complete Genome,2015-12-03,1
GCA_006385555.1,ASM638555v1,Shewanella polaris,SM1901,Complete Genome,2019-06-23,1
GCA_002269385.1,ASM226938v1,Maribacter cobaltidurans,B1,Complete Genome,2017-08-24,1
GCA_018417475.1,ASM1841747v1,Novosphingobium decolorationis,502str22,Complete Genome,2021-05-20,2
GCA_003076455.1,ASM307645v1,Flavobacterium faecale,WV33,Complete Genome,2018-05-01,1
GCA_010727125.1,ASM1072712v1,Mycolicibacter terrae,JCM 12143,Complete Genome,2020-02-06,1
GCA_002163585.1,ASM216358v1,Tatumella citrea,DSM 13699,Complete Genome,2017-06-02,2
GCA_002024805.1,ASM202480v1,Elizabethkingia bruuniana,G0146,Complete Genome,2017-03-10,1
GCA_001761465.1,ASM176146v1,Flavobacterium gilvum,EM1308,Complete Genome,2016-10-12,1
GCA_038024045.1,ASM3802404v1,Polaribacter staleyi,KCTC 52773,Complete Genome,2024-05-08,1
GCA_017348915.1,ASM1734891v1,Leclercia pneumoniae,49125,Complete Genome,2021-03-13,2
GCA_017357245.1,ASM1735724v1,Rhizobium bangladeshense,BLR175,Complete Genome,2021-03-16,6
GCA_020911905.1,ASM2091190v1,Flavobacterium flavipigmentatum,F-70,Complete Genome,2021-11-22,1
GCA_013402815.2,ASM1340281v2,Natrinema halophilum,YPL8,Complete Genome,2021-10-19,3
GCA_016618195.1,ASM1661819v1,Providencia manganoxydans,LLDRA6,Complete Genome,2021-01-12,1
GCA_036488675.1,ASM3648867v1,Sinorhizobium chiapasense,ITTG S70,Complete Genome,2024-02-09,5
GCA_007858975.2,ASM785897v2,Dickeya poaceiphila,NCPPB 569,Complete Genome,2019-11-12,1
GCA_003006155.1,ASM300615v1,Salinicola tamaricis,F01,Complete Genome,2018-03-16,1
GCA_001305575.3,ASM130557v3,Beggiatoa leptomitoformis,D-402,Complete Genome,2019-12-16,1
GCA_010983895.1,ASM1098389v1,Nitrogeniibacter mangrovi,M9-3-2,Complete Genome,2020-02-24,1
GCA_006385135.1,ASM638513v1,Paremcibacter congregatus,ZYLT,Complete Genome,2019-06-22,1
GCA_013376475.1,ASM1337647v1,Desulfolutivibrio sulfoxidireducens,DSM 107105,Complete Genome,2020-06-29,1
GCA_020809405.1,ASM2080940v1,Terrisporobacter hibernicus,MCA3,Complete Genome,2021-11-09,2
GCA_038024105.1,ASM3802410v1,Polaribacter butkevichii,KCTC 12100,Complete Genome,2024-04-09,1
GCA_034120055.1,ASM3412005v1,Microbacterium rhizosphaerae,KACC 19337,Complete Genome,2023-12-06,1
GCA_045788535.1,ASM4578853v1,Allotamlana fucoidanivorans,CW2-9,Complete Genome,2024-12-07,1
GCA_016134045.1,ASM1613404v1,Pelagovum pacificum,SM1903,Complete Genome,2020-12-20,3
GCA_016613535.2,ASM1661353v2,Agrilutibacter solisilvae,R19,Complete Genome,2021-03-15,1
GCA_003008555.2,ASM300855v2,Pukyongiella litopenaei,SH-1,Complete Genome,2019-09-11,6
GCA_000764535.1,ASM76453v1,Sphingomonas taxi,ATCC 55669,Complete Genome,2014-10-08,3
GCA_001761365.1,ASM176136v1,Polaribacter vadi,LPB0003,Complete Genome,2016-10-12,1
GCA_000507245.1,ASM50724v1,Salinispira pacifica,L21-RPul-D2,Complete Genome,2013-12-13,1
GCA_003096075.1,ASM309607v1,Dietzia lutea,YIM 80766,Complete Genome,2018-05-07,4
GCA_025917315.1,ASM2591731v1,Halomonas qaidamensis,XH36,Complete Genome,2022-10-31,2
GCA_003367315.1,ASM336731v1,Saccharospirillum mangrovi,HK-33,Complete Genome,2018-08-08,1
GCA_003240565.2,ASM324056v2,Rhizobium tumorigenes,1078,Complete Genome,2023-04-19,6
GCA_012913305.1,ASM1291330v1,Aerophototrophica crusticola,MIMtkB3,Complete Genome,2020-04-28,1
GCA_019722725.1,ASM1972272v1,Vreelandella profundi,MT13,Complete Genome,2021-08-23,1
GCA_008247605.1,ASM824760v1,Kushneria phosphatilytica,YCWA18,Complete Genome,2019-09-03,1
GCA_022809775.1,ASM2280977v1,Pseudodesulfovibrio tunisiensis,RB22,Complete Genome,2022-04-03,1
GCA_041892135.1,ASM4189213v1,Brevundimonas intermedia,CCUG 45022,Complete Genome,2024-09-11,1
GCA_022814725.1,ASM2281472v1,Bdellovibrio reynosensis,LBG001,Complete Genome,2022-04-04,1
GCA_003991135.1,ASM399113v1,Anoxybacter fermentans,DY22613,Complete Genome,2019-01-03,1
GCA_003430825.1,ASM343082v1,Natrarchaeobaculum sulfurireducens,AArc1,Complete Genome,2018-08-28,3
GCA_012295615.1,ASM1229561v1,Bermanella marisrubri,RED65,Complete Genome,2020-04-15,2
GCA_010681825.2,ASM1068182v2,Sulfuriroseicoccus oceanibius,T37,Complete Genome,2021-01-07,1
GCA_002310795.1,ASM231079v1,Pseudoalteromonas issachenkonii,KMM 3549,Complete Genome,2017-09-18,2
GCA_013284055.1,ASM1328405v1,Deefgea piscis,D17,Complete Genome,2020-06-07,3
GCA_028869115.1,ASM2886911v1,Pseudemcibacter aquimaris,Y4,Complete Genome,2023-02-27,1
GCA_005377625.1,ASM537762v1,Desulfoglaeba alkanexedens ALDC,ALDC,Complete Genome,2019-05-15,1
GCA_026013905.1,ASM2601390v1,Caldimonas aquatica,LMG 23380,Complete Genome,2022-11-06,1
GCA_037055315.1,ASM3705531v1,Arachnia rubra,SK-1,Complete Genome,2024-04-05,1
GCA_006542665.1,Acom_1.0,Alistipes communis,5CBH24,Complete Genome,2019-06-12,1
GCA_004014855.1,ASM401485v1,Apibacter raozihei,HY041,Complete Genome,2019-01-14,1
GCA_024347495.1,ASM2434749v1,Vibrio gallaecicus,CECT 7244,Complete Genome,2022-07-13,2
GCA_015277895.1,ASM1527789v1,Microbacterium abyssi,A18JL241,Complete Genome,2020-11-08,1
GCA_001687605.2,ASM168760v2,Planococcus plakortidis,DSM 23997,Complete Genome,2016-11-01,1
GCA_001186155.3,ASM118615v3,Planococcus versutus,L10.15,Complete Genome,2016-11-01,3
GCA_023921225.1,ASM2392122v1,Legionella lytica,PCM 2298,Complete Genome,2022-06-27,3
GCA_002117005.1,ASM211700v1,Sedimentisphaera salicampi,ST-PulAB-D4,Complete Genome,2017-05-02,1
GCA_014334095.1,ASM1433409v1,Novosphingopyxis iocasae,PB63,Complete Genome,2020-08-30,1
GCA_024347575.1,ASM2434757v1,Vibrio pelagius,ATCC 25916,Complete Genome,2022-07-13,3
GCA_024347655.1,ASM2434765v1,Vibrio toranzoniae,CECT 7225,Complete Genome,2022-07-13,2
GCA_038019025.1,ASM3801902v1,Polaribacter marinaquae,MCCC 1K00696,Complete Genome,2024-04-09,1
GCA_021952865.1,ASM2195286v1,Clavibacter californiensis,CFBP 8216,Complete Genome,2022-02-04,2
GCA_022631235.3,ASM2263123v3,Psychrobacter raelei,PraFG1,Complete Genome,2024-03-27,2
GCA_030296755.1,ASM3029675v1,Methylophaga marina,NBRC 102421,Complete Genome,2023-03-24,1
GCA_021922925.1,ASM2192292v1,Clavibacter phaseoli,LPPA 982,Complete Genome,2022-02-03,2
GCA_014775655.1,ASM1477565v1,Clavibacter zhangzhiyongii,DM1,Complete Genome,2020-09-28,1
GCA_009910365.1,ASM991036v1,Aequoribacter fuscus,IMCC3088,Complete Genome,2020-01-21,1
GCA_013201725.1,ASM1320172v1,Arcobacter defluvii,LMG 25694,Complete Genome,2020-06-01,1
GCA_003201835.2,ASM320183v2,Acidianus brierleyi,DSM 1651,Complete Genome,2020-03-10,1
GCA_003999255.1,ASM399925v1,Caldicellulosiruptor changbaiensis,CBS-Z,Complete Genome,2019-01-08,1
GCA_002285495.1,ASM228549v1,Clostridium isatidis,DSM 15098,Complete Genome,2017-09-05,1
GCA_004014775.2,ASM401477v2,Acetobacter oryzoeni,B6,Complete Genome,2019-08-21,4
GCA_901482605.1,45532_E01,Hathewaya histolytica,NCTC503,Complete Genome,2019-05-11,1
GCA_030406725.1,ASM3040672v1,Alteriqipengyuania flavescens,,Complete Genome,2023-07-05,1
GCA_027557445.1,ASM2755744v1,Paenalcaligenes faecalis,YLCF04,Complete Genome,2023-01-03,2
GCA_038024095.1,ASM3802409v1,Polaribacter tangerinus,MCCC 1H00163,Complete Genome,2024-04-09,1
GCA_003718735.1,ASM371873v1,Staphylococcus debuckii,SDB 2975,Complete Genome,2018-11-08,1
GCA_900187255.1,51184_F02,Capnocytophaga haemolytica,NCTC12947,Complete Genome,2017-08-15,1
GCA_001663155.1,ASM166315v1,Altererythrobacter ishigakiensis,NBRC 107699,Complete Genome,2016-06-15,1
GCA_014041995.1,ASM1404199v1,Changpingibacter yushuensis,JY-X040,Complete Genome,2020-08-02,1
GCA_002838765.1,ASM283876v1,Kangiella profundi,FT102,Complete Genome,2017-12-13,1
GCA_900186985.1,50377_C01,Staphylococcus piscifermentans,NCTC13836,Complete Genome,2017-08-15,1
GCA_000828915.1,ASM82891v1,Serpentinimonas maccroryi,B1,Complete Genome,2014-05-17,2
GCA_022749515.1,ASM2274951v1,Morococcus cerebrosus,CIP 81.93,Complete Genome,2022-03-29,1
GCA_018324385.1,ASM1832438v1,Ferrigenium kumadai,An22,Complete Genome,2021-03-16,1
GCA_030408855.1,ASM3040885v1,Corynebacterium glaucum,DSM 44530,Complete Genome,2023-07-05,1
GCA_002216145.1,ASM221614v1,Neisseria chenwenguii,10023,Complete Genome,2017-07-10,1
GCA_010537335.1,ASM1053733v1,Amedibacterium intestinale,9CBEGH2,Complete Genome,2020-01-27,1
GCA_000767685.1,ASM76768v1,Corynebacterium ramonii FRC0011,FRC0011,Complete Genome,2014-10-22,1
GCA_000980835.1,ASM98083v1,Corynebacterium kutscheri,DSM 20755,Complete Genome,2015-04-24,1
GCA_009026825.1,ASM902682v1,Corynebacterium urogenitale,LMM-1652,Complete Genome,2019-10-16,1
GCA_016127715.1,ASM1612771v1,Staphylococcus saccharolyticus,FDAARGOS_1074,Complete Genome,2020-12-20,1
GCA_016028775.1,ASM1602877v1,Moraxella nonliquefaciens,FDAARGOS_869,Complete Genome,2020-12-14,2
GCA_017945865.1,ASM1794586v1,Xiamenia xianingshaonis,zg-886,Complete Genome,2021-04-14,1
GCA_011455875.1,ASM1145587v1,Basfia succiniciproducens,JF4016,Complete Genome,2020-03-19,1
GCA_039830185.1,ASM3983018v1,Bifidobacterium faecale,JCM 19861,Complete Genome,2024-05-26,1
GCA_000006985.1,ASM698v1,Chlorobaculum tepidum TLS,TLS,Complete Genome,2002-07-02,1
GCA_001011115.1,ASM101111v1,Halanaeroarchaeum sulfurireducens,HSR2,Complete Genome,2015-05-21,2
GCA_008369785.1,ASM836978v1,Francisella marina,E95-16,Complete Genome,2019-09-11,2
GCA_003627135.1,ASM362713v1,Streptococcus koreensis,KCOM 2890 (=JS71),Complete Genome,2018-10-07,1
GCA_000020985.1,ASM2098v1,Thermodesulfovibrio yellowstonii DSM 11347,DSM 11347,Complete Genome,2008-09-26,1
GCA_013315815.1,ASM1331581v1,Caproicibacterium lactatifermentans,LBM19010,Complete Genome,2020-06-10,1
GCA_000585495.1,ASM58549v1,Thermococcus nautili,30-1,Complete Genome,2014-03-05,1
GCA_013201895.1,ASM1320189v1,Campylobacter blaseri,LMG 30333,Complete Genome,2020-06-01,1
GCA_001535545.1,ASM153554v1,Thermus parvatiensis,RL,Complete Genome,2016-01-25,2
GCA_000021645.1,ASM2164v1,Dictyoglomus turgidum DSM 6724,DSM 6724,Complete Genome,2008-12-12,1
GCA_000024905.1,ASM2490v1,Thermanaerovibrio acidaminovorans DSM 6589,DSM 6589,Complete Genome,2009-11-19,1
GCA_012317585.1,ASM1231758v1,Thermosulfurimonas marina,SU872,Complete Genome,2020-04-15,1
GCA_004102045.2,ASM410204v2,Oenococcus sicerae,UCMA15228,Complete Genome,2020-02-07,1
GCA_000008625.1,ASM862v1,Aquifex aeolicus VF5,VF5,Complete Genome,1999-12-22,2
GCA_000512735.1,ASM51273v1,Thermocrinis ruber,DSM 23557,Complete Genome,2014-01-03,1
GCA_000973085.1,ASM97308v1,Sneathia vaginalis,SN35,Complete Genome,2015-04-17,1
GCA_045276875.1,ASM4527687v1,Mycoplasma corogypsi,BV1,Complete Genome,2024-11-26,1
GCA_037482225.1,ASM3748222v1,[Mycoplasma] gypis,B1/T1,Complete Genome,2024-04-05,1
GCA_024498255.1,ASM2449825v1,Mycoplasmopsis equigenitalium,T37,Complete Genome,2022-08-01,1
GCA_046774455.1,ASM4677445v1,Metamycoplasma buccale,CH20247,Complete Genome,2025-01-21,1
GCA_003855455.1,ASM385545v1,Mycoplasma struthionis,237IA,Complete Genome,2018-12-02,1
GCA_000024025.1,ASM2402v1,Catenulispora acidiphila DSM 44928,DSM 44928,Complete Genome,2009-08-21,1
GCA_000024865.1,ASM2486v1,Streptosporangium roseum DSM 43021,DSM 43021,Complete Genome,2009-12-10,2
GCA_002305855.1,ASM230585v1,Melittangium boletus DSM 14713,DSM 14713,Complete Genome,2017-09-15,1
GCA_000024805.1,ASM2480v1,Haliangium ochraceum DSM 14365,DSM 14365,Complete Genome,2009-10-27,1
GCA_000494755.1,ASM49475v1,Actinoplanes friuliensis DSM 7358,DSM 7358,Complete Genome,2013-11-01,1
GCA_000328705.1,ASM32870v1,Saccharothrix espanaensis DSM 44229,type strain: DSM 44229,Complete Genome,2012-10-02,1
GCA_000269985.1,ASM26998v1,Kitasatospora setae KM-6054,KM-6054,Complete Genome,2010-11-11,1
GCA_008704855.1,ASM870485v1,Streptomyces platensis,ATCC 23948,Complete Genome,2019-09-26,1
GCA_000212735.1,ASM21273v1,Haliscomenobacter hydrossis DSM 1100,DSM 1100,Complete Genome,2011-05-09,4
GCA_000344805.1,ASM34480v1,Bradyrhizobium oligotrophicum S58,S58,Complete Genome,2013-02-28,1
GCA_000023245.1,ASM2324v1,Actinosynnema mirum DSM 43827,DSM 43827,Complete Genome,2009-08-13,1
GCA_002215215.1,ASM221521v1,Granulosicoccus antarcticus IMCC3135,IMCC3135,Complete Genome,2017-07-06,1
GCA_000317105.1,ASM31710v1,Oscillatoria acuminata PCC 6304,PCC 6304,Complete Genome,2012-12-05,3
GCA_000024345.1,ASM2434v1,Kribbella flavida DSM 17836,DSM 17836,Complete Genome,2010-01-13,1
GCA_000012985.1,ASM1298v1,Hahella chejuensis KCTC 2396,KCTC 2396,Complete Genome,2005-12-14,1
GCA_000176035.2,ASM17603v2,Mesorhizobium opportunistum WSM2075,WSM2075,Complete Genome,2011-06-14,1
GCA_000024545.1,ASM2454v1,Stackebrandtia nassauensis DSM 44728,DSM 44728,Complete Genome,2010-03-05,1
GCA_000204155.1,ASM20415v1,Micromonospora maris AB-18-032,AB-18-032,Complete Genome,2011-04-13,2
GCA_000218895.1,ASM21889v1,Runella slithyformis DSM 19594,DSM 19594,Complete Genome,2011-06-17,6
GCA_000266945.1,ASM26694v1,Desulfomonile tiedjei DSM 6799,DSM 6799,Complete Genome,2012-06-12,2
GCA_000317695.1,ASM31769v1,Anabaena cylindrica PCC 7122,PCC 7122,Complete Genome,2012-12-07,7
GCA_025149125.1,ASM2514912v1,[Clostridium] asparagiforme DSM 15981,DSM 15981,Complete Genome,2022-09-12,1
GCA_000317125.1,ASM31712v1,Chroococcidiopsis thermalis PCC 7203,PCC 7203,Complete Genome,2012-12-05,3
GCA_000222485.1,ASM22248v1,Cyclobacterium marinum DSM 745,DSM 745,Complete Genome,2011-08-03,1
GCA_000230995.2,ASM23099v3,Mesorhizobium australicum WSM2073,WSM2073,Complete Genome,2012-12-28,1
GCA_000024365.1,ASM2436v1,Nakamurella multipartita DSM 44233,DSM 44233,Complete Genome,2009-09-15,1
GCA_002257705.2,SPSIL,Sporomusa silvacetica DSM 10669,DSM 10669,Complete Genome,2024-09-08,1
GCA_000019965.1,ASM1996v1,Opitutus terrae PB90-1,PB90-1,Complete Genome,2008-04-08,1
GCA_000019525.1,ASM1952v1,Shewanella woodyi ATCC 51908,ATCC 51908,Complete Genome,2008-03-13,1
GCA_000235605.1,ASM23560v1,Desulfosporosinus orientis DSM 765,DSM 765,Complete Genome,2011-11-16,1
GCA_000017805.1,ASM1780v1,Roseiflexus castenholzii DSM 13941,DSM 13941,Complete Genome,2007-08-23,1
GCA_000024385.1,ASM2438v1,Thermomonospora curvata DSM 43183,DSM 43183,Complete Genome,2009-11-16,1
GCA_019645835.1,ASM1964583v1,Mycolicibacterium holsaticum DSM 44478 = JCM 12374,JCM 12374,Complete Genome,2021-08-17,1
GCA_000325705.1,ASM32570v1,Echinicola vietnamensis DSM 17526,DSM 17526,Complete Genome,2012-12-19,1
GCA_000020365.1,ASM2036v1,Desulforapulum autotrophicum HRM2,HRM2,Complete Genome,2009-02-18,2
GCA_000018025.1,ASM1802v1,Shewanella sediminis HAW-EB3,HAW-EB3,Complete Genome,2007-09-18,1
GCA_000186345.1,ASM18634v1,Isosphaera pallida ATCC 43644,ATCC 43644,Complete Genome,2011-01-20,2
GCA_000025345.1,ASM2534v1,Geodermatophilus obscurus DSM 43160,DSM 43160,Complete Genome,2010-01-20,1
GCA_000724625.1,ASM72462v1,Fimbriimonas ginsengisoli Gsoil 348,GSoil 348,Complete Genome,2014-07-10,1
GCA_000242635.2,ASM24263v3,Solitalea canadensis DSM 3403,DSM 3403,Complete Genome,2012-03-08,1
GCA_000155735.2,ASM15573v2,Octadecabacter arcticus 238,238,Complete Genome,2013-04-08,3
GCA_000307105.1,ASM30710v1,Desulfobacula toluolica Tol2,Tol2,Complete Genome,2012-09-17,1
GCA_000018285.1,ASM1828v1,Shewanella pealeana ATCC 700345,ATCC 700345,Complete Genome,2007-10-04,1
GCA_000179915.2,ASM17991v2,Terriglobus saanensis SP1PR4,SP1PR4,Complete Genome,2011-01-24,1
GCA_000317575.1,ASM31757v1,Stanieria cyanosphaera PCC 7437,PCC 7437,Complete Genome,2012-12-06,6
GCA_000970085.1,ASM97008v1,Methanosarcina siciliae T4/M,T4/M,Complete Genome,2015-04-07,1
GCA_000227745.2,ASM22774v3,Thiocystis violascens DSM 198,DSM 198,Complete Genome,2012-06-08,1
GCA_000014965.1,ASM1496v1,Syntrophobacter fumaroxidans MPOB,MPOB,Complete Genome,2006-10-26,1
GCA_000091325.1,ASM9132v1,Shewanella violacea DSS12,DSS12,Complete Genome,2010-04-01,1
GCA_900187065.1,50465_H02,Mycolicibacterium thermoresistibile,NCTC10409,Complete Genome,2017-08-15,1
GCA_000016985.1,ASM1698v1,Alkaliphilus metalliredigens QYMF,QYMF,Complete Genome,2007-06-28,1
GCA_000255115.2,ASM25511v3,Desulfosporosinus acidiphilus SJ4,SJ4,Complete Genome,2012-06-15,3
GCA_000265505.1,ASM26550v1,Bernardetia litoralis DSM 6794,DSM 6794,Complete Genome,2012-06-11,1
GCA_000186265.1,ASM18626v1,Cellulophaga algicola DSM 14237,DSM 14237,Complete Genome,2011-01-18,1
GCA_000231385.2,ASM23138v3,Desulfosporosinus meridiei DSM 13257,DSM 13257,Complete Genome,2012-08-27,1
GCA_000233715.2,ASM23371v3,Desulfoscipio gibsoniae DSM 7213,DSM 7213,Complete Genome,2013-05-06,1
GCA_000348785.1,ASM34878v1,Ilumatobacter coccineus YM16-304,YM16-304,Complete Genome,2013-03-15,1
GCA_000155675.2,ASM15567v2,Octadecabacter antarcticus 307,307,Complete Genome,2013-04-08,2
GCA_000092925.1,ASM9292v1,Ancylobacter novellus DSM 506,DSM 506,Complete Genome,2010-05-27,1
GCA_000521505.1,ASM52150v1,Advenella mimigardefordensis DPN7,DPN7,Complete Genome,2014-01-22,2
GCA_000214175.1,ASM21417v1,Hoyosella subflava DQS3-9A1,DQS3-9A1,Complete Genome,2011-05-20,3
GCA_000178835.2,ASM17883v2,Cellulosilyticum lentocellum DSM 5427,DSM 5427,Complete Genome,2011-03-22,1
GCA_000243115.2,ASM24311v3,Niabella soli DSM 19437,DSM 19437,Complete Genome,2014-01-03,1
GCA_000177235.2,ASM17723v2,Evansella cellulosilytica DSM 2522,DSM 2522,Complete Genome,2010-12-27,1
GCA_000021805.1,ASM2180v1,Rippkaea orientalis PCC 8801,PCC 8801,Complete Genome,2008-12-17,4
GCA_000023105.1,ASM2310v1,Beutenbergia cavernae DSM 12333,DSM 12333,Complete Genome,2009-05-07,1
GCA_000143985.1,ASM14398v1,Sediminispirochaeta smaragdinae DSM 11293,DSM 11293,Complete Genome,2010-07-29,1
GCA_000192745.1,ASM19274v1,Polymorphum gilvum SL003B-26A1,SL003B-26A1,Complete Genome,2011-03-18,2
GCA_000010305.1,ASM1030v1,Gemmatimonas aurantiaca T-27,T-27,Complete Genome,2009-04-01,1
GCA_000190735.1,ASM19073v2,Pseudopedobacter saltans DSM 12145,DSM 12145,Complete Genome,2011-03-01,1
GCA_000194605.1,ASM19460v1,Fluviicola taffensis DSM 16823,DSM 16823,Complete Genome,2011-03-31,1
GCA_000020725.1,ASM2072v1,Citrifermentans bemidjiense Bem,Bem,Complete Genome,2008-08-19,1
GCA_013282725.1,ASM1328272v1,Yersinia mollaretii ATCC 43969,ATCC 43969,Complete Genome,2020-06-06,1
GCA_000015285.1,ASM1528v1,Psychromonas ingrahamii 37,37,Complete Genome,2006-12-22,1
GCA_000013765.1,ASM1376v1,Shewanella denitrificans OS217,OS217,Complete Genome,2006-04-10,1
GCA_000024205.1,ASM2420v1,Desulfofarcimen acetoxidans DSM 771,DSM 771,Complete Genome,2009-09-10,1
GCA_039724765.1,E37_hybrid,Sagittula stellata E-37,E-37,Complete Genome,2024-05-24,5
GCA_000183425.1,ASM18342v1,Marivirga tractuosa DSM 4126,DSM 4126,Complete Genome,2010-11-30,2
GCA_001632775.1,ASM163277v1,Dokdonella koreensis DS-123,DS-123,Complete Genome,2016-04-27,1
GCA_000024405.1,ASM2440v1,Sebaldella termitidis ATCC 33386,ATCC 33386,Complete Genome,2009-11-18,3
GCA_000013885.1,ASM1388v1,Nitrobacter hamburgensis X14,X14,Complete Genome,2006-04-11,4
GCA_900478165.1,48290_A02,Lederbergia lenta,NCTC4824,Complete Genome,2018-06-18,1
GCA_000266885.1,ASM26688v1,Turneriella parva DSM 21527,DSM 21527,Complete Genome,2012-06-12,2
GCA_001653335.1,ASM165333v1,Nocardioides dokdonensis FR1436,FR1436,Complete Genome,2016-05-27,1
GCA_000153485.2,ASM15348v2,Psychroflexus torquis ATCC 700755,ATCC 700755,Complete Genome,2012-10-09,1
GCA_000243155.2,ASM24315v3,Desulfitobacterium dehalogenans ATCC 51507,ATCC 51507,Complete Genome,2012-06-11,1
GCA_000178975.2,ASM17897v2,Granulicella tundricola MP5ACTX9,MP5ACTX9,Complete Genome,2011-02-02,6
GCA_000023445.1,ASM2344v1,Maridesulfovibrio salexigens DSM 2638,DSM 2638,Complete Genome,2009-06-26,1
